DATE,APUS37B72610
11/1/1978,0.032
12/1/1978,0.034
1/1/1979,0.035
2/1/1979,0.036
3/1/1979,0.038
4/1/1979,0.038
5/1/1979,0.038
6/1/1979,0.043
7/1/1979,0.045
8/1/1979,0.044
9/1/1979,0.043
10/1/1979,0.042
11/1/1979,0.038
12/1/1979,0.041
1/1/1980,0.045
2/1/1980,0.041
3/1/1980,0.045
4/1/1980,0.043
5/1/1980,0.048
6/1/1980,0.055
7/1/1980,0.055
8/1/1980,0.056
9/1/1980,0.054
10/1/1980,0.055
11/1/1980,0.046
12/1/1980,0.048
1/1/1981,0.047
2/1/1981,0.049
3/1/1981,0.054
4/1/1981,0.056
5/1/1981,0.069
6/1/1981,0.069
7/1/1981,0.072
8/1/1981,0.068
9/1/1981,0.066
10/1/1981,0.066
11/1/1981,0.063
12/1/1981,0.06
1/1/1982,0.062
2/1/1982,0.059
3/1/1982,0.071
4/1/1982,0.072
5/1/1982,0.083
6/1/1982,0.08
7/1/1982,0.084
8/1/1982,0.084
9/1/1982,0.084
10/1/1982,0.082
11/1/1982,0.077
12/1/1982,0.076
1/1/1983,0.066
2/1/1983,0.069
3/1/1983,0.073
4/1/1983,0.076
5/1/1983,0.092
6/1/1983,0.092
7/1/1983,0.088
8/1/1983,0.089
9/1/1983,0.088
10/1/1983,0.089
11/1/1983,0.074
12/1/1983,0.074
1/1/1984,0.074
2/1/1984,0.074
3/1/1984,0.074
4/1/1984,0.074
5/1/1984,0.089
6/1/1984,0.089
7/1/1984,0.089
8/1/1984,0.089
9/1/1984,0.089
10/1/1984,0.089
11/1/1984,0.089
12/1/1984,0.074
1/1/1985,0.074
2/1/1985,0.08
3/1/1985,0.08
4/1/1985,0.082
5/1/1985,0.093
6/1/1985,0.093
7/1/1985,0.088
8/1/1985,0.088
9/1/1985,.
10/1/1985,0.088
11/1/1985,0.077
12/1/1985,0.077
1/1/1986,0.076
2/1/1986,0.076
3/1/1986,0.077
4/1/1986,0.071
5/1/1986,0.08
6/1/1986,0.08
7/1/1986,0.081
8/1/1986,0.081
9/1/1986,0.079
10/1/1986,0.08
11/1/1986,0.069
12/1/1986,0.067
1/1/1987,0.067
2/1/1987,0.066
3/1/1987,0.067
4/1/1987,0.067
5/1/1987,0.078
6/1/1987,0.079
7/1/1987,0.078
8/1/1987,0.078
9/1/1987,0.078
10/1/1987,0.079
11/1/1987,0.067
12/1/1987,0.067
1/1/1988,0.067
2/1/1988,0.066
3/1/1988,0.066
4/1/1988,0.067
5/1/1988,0.078
6/1/1988,0.077
7/1/1988,0.077
8/1/1988,0.078
9/1/1988,0.079
10/1/1988,0.079
11/1/1988,0.066
12/1/1988,0.068
1/1/1989,0.068
2/1/1989,0.065
3/1/1989,0.065
4/1/1989,0.067
5/1/1989,0.08
6/1/1989,0.085
7/1/1989,0.084
8/1/1989,0.084
9/1/1989,0.085
10/1/1989,0.086
11/1/1989,0.073
12/1/1989,0.073
1/1/1990,0.072
2/1/1990,0.073
3/1/1990,0.073
4/1/1990,0.073
5/1/1990,0.085
6/1/1990,0.085
7/1/1990,0.085
8/1/1990,0.085
9/1/1990,0.085
10/1/1990,0.085
11/1/1990,0.073
12/1/1990,0.072
1/1/1991,0.072
2/1/1991,0.071
3/1/1991,0.071
4/1/1991,0.072
5/1/1991,0.086
6/1/1991,0.092
7/1/1991,0.092
8/1/1991,0.086
9/1/1991,0.093
10/1/1991,0.093
11/1/1991,0.078
12/1/1991,0.078
1/1/1992,0.078
2/1/1992,0.061
3/1/1992,0.078
4/1/1992,0.079
5/1/1992,0.093
6/1/1992,0.093
7/1/1992,0.092
8/1/1992,0.086
9/1/1992,0.093
10/1/1992,0.094
11/1/1992,0.078
12/1/1992,0.078
1/1/1993,0.079
2/1/1993,0.078
3/1/1993,0.079
4/1/1993,0.079
5/1/1993,0.094
6/1/1993,0.094
7/1/1993,0.096
8/1/1993,0.096
9/1/1993,0.096
10/1/1993,0.096
11/1/1993,0.085
12/1/1993,0.085
1/1/1994,0.084
2/1/1994,0.084
3/1/1994,0.083
4/1/1994,0.083
5/1/1994,0.095
6/1/1994,0.095
7/1/1994,0.095
8/1/1994,0.096
9/1/1994,0.095
10/1/1994,0.096
11/1/1994,0.083
12/1/1994,0.084
1/1/1995,0.082
2/1/1995,0.082
3/1/1995,0.081
4/1/1995,0.035
5/1/1995,0.09
6/1/1995,0.09
7/1/1995,0.089
8/1/1995,0.09
9/1/1995,0.069
10/1/1995,0.09
11/1/1995,0.079
12/1/1995,0.079
1/1/1996,0.078
2/1/1996,0.078
3/1/1996,0.079
4/1/1996,0.079
5/1/1996,0.09
6/1/1996,0.09
7/1/1996,0.09
8/1/1996,0.091
9/1/1996,0.088
10/1/1996,0.088
11/1/1996,0.072
12/1/1996,0.072
1/1/1997,0.072
2/1/1997,0.072
3/1/1997,0.075
4/1/1997,0.075
5/1/1997,0.092
6/1/1997,0.092
7/1/1997,0.092
8/1/1997,0.091
9/1/1997,0.091
10/1/1997,0.091
11/1/1997,0.074
12/1/1997,0.074
1/1/1998,0.072
2/1/1998,0.071
3/1/1998,0.071
4/1/1998,0.071
5/1/1998,0.087
6/1/1998,0.087
7/1/1998,0.089
8/1/1998,0.089
9/1/1998,0.087
10/1/1998,0.089
11/1/1998,0.073
12/1/1998,0.073
1/1/1999,0.072
2/1/1999,0.072
3/1/1999,0.072
4/1/1999,0.072
5/1/1999,0.087
6/1/1999,0.087
7/1/1999,0.087
8/1/1999,0.087
9/1/1999,0.088
10/1/1999,0.088
11/1/1999,0.072
12/1/1999,0.073
1/1/2000,0.071
2/1/2000,0.071
3/1/2000,0.071
4/1/2000,0.071
5/1/2000,0.087
6/1/2000,0.087
7/1/2000,0.086
8/1/2000,0.086
9/1/2000,0.096
10/1/2000,0.096
11/1/2000,0.081
12/1/2000,0.09
1/1/2001,0.09
2/1/2001,0.091
3/1/2001,0.091
4/1/2001,0.091
5/1/2001,0.113
6/1/2001,0.112
7/1/2001,0.113
8/1/2001,0.107
9/1/2001,0.106
10/1/2001,0.106
11/1/2001,0.09
12/1/2001,0.09
1/1/2002,0.074
2/1/2002,0.074
3/1/2002,0.074
4/1/2002,0.074
5/1/2002,0.089
6/1/2002,0.089
7/1/2002,0.089
8/1/2002,0.089
9/1/2002,0.094
10/1/2002,0.094
11/1/2002,0.078
12/1/2002,0.078
1/1/2003,0.081
2/1/2003,0.081
3/1/2003,0.081
4/1/2003,0.089
5/1/2003,0.104
6/1/2003,0.104
7/1/2003,0.104
8/1/2003,0.113
9/1/2003,0.113
10/1/2003,0.113
11/1/2003,0.098
12/1/2003,0.098
1/1/2004,0.098
2/1/2004,0.098
3/1/2004,0.098
4/1/2004,0.098
5/1/2004,0.113
6/1/2004,0.113
7/1/2004,0.113
8/1/2004,0.114
9/1/2004,0.114
10/1/2004,0.114
11/1/2004,0.098
12/1/2004,0.098
1/1/2005,0.109
2/1/2005,0.109
3/1/2005,0.109
4/1/2005,0.109
5/1/2005,0.13
6/1/2005,0.13
7/1/2005,0.13
8/1/2005,0.13
9/1/2005,0.131
10/1/2005,0.131
11/1/2005,0.149
12/1/2005,0.134
1/1/2006,0.145
2/1/2006,0.145
3/1/2006,0.145
4/1/2006,0.149
5/1/2006,0.165
6/1/2006,0.165
7/1/2006,0.165
8/1/2006,0.165
9/1/2006,0.165
10/1/2006,0.165
11/1/2006,0.149
12/1/2006,0.149
1/1/2007,0.149
2/1/2007,0.149
3/1/2007,0.149
4/1/2007,0.149
5/1/2007,0.149
6/1/2007,0.148
7/1/2007,0.147
8/1/2007,0.147
9/1/2007,0.149
10/1/2007,0.149
11/1/2007,0.134
12/1/2007,0.134
1/1/2008,0.134
2/1/2008,0.133
3/1/2008,0.133
4/1/2008,0.135
5/1/2008,0.136
6/1/2008,0.161
7/1/2008,0.161
8/1/2008,0.161
9/1/2008,0.161
10/1/2008,0.161
11/1/2008,0.164
12/1/2008,0.164
1/1/2009,0.164
2/1/2009,0.166
3/1/2009,0.165
4/1/2009,0.165
5/1/2009,0.165
6/1/2009,0.167
7/1/2009,0.148
8/1/2009,0.147
9/1/2009,0.147
10/1/2009,0.147
11/1/2009,0.148
12/1/2009,0.148
1/1/2010,0.148
2/1/2010,0.148
3/1/2010,0.149
4/1/2010,0.15
5/1/2010,0.149
6/1/2010,0.149
7/1/2010,0.15
8/1/2010,0.15
9/1/2010,0.15
10/1/2010,0.15
11/1/2010,0.149
12/1/2010,0.15
1/1/2011,0.149
2/1/2011,0.149
3/1/2011,0.149
4/1/2011,0.149
5/1/2011,0.15
6/1/2011,0.15
7/1/2011,0.15
8/1/2011,0.15
9/1/2011,0.15
10/1/2011,0.15
11/1/2011,0.154
12/1/2011,0.154
1/1/2012,0.154
2/1/2012,0.157
3/1/2012,0.155
4/1/2012,0.155
5/1/2012,0.155
6/1/2012,.
7/1/2012,0.114
8/1/2012,0.117
9/1/2012,0.108
10/1/2012,0.112
11/1/2012,0.114
12/1/2012,0.116
1/1/2013,0.111
2/1/2013,0.11
3/1/2013,0.112
4/1/2013,0.119
5/1/2013,0.127
6/1/2013,0.127
7/1/2013,0.127
8/1/2013,0.123
9/1/2013,0.116
10/1/2013,0.116
11/1/2013,0.113
12/1/2013,0.121
1/1/2014,0.131
2/1/2014,0.147
3/1/2014,0.14
4/1/2014,0.136
5/1/2014,0.139
6/1/2014,0.137
7/1/2014,0.134
8/1/2014,0.125
9/1/2014,0.129
10/1/2014,0.127
11/1/2014,0.125
12/1/2014,0.133
1/1/2015,0.116
2/1/2015,0.111
3/1/2015,0.11
4/1/2015,0.106
5/1/2015,0.105
6/1/2015,0.107
7/1/2015,0.107
8/1/2015,0.108
9/1/2015,0.107
10/1/2015,0.106
11/1/2015,0.1
12/1/2015,0.102
1/1/2016,0.105
2/1/2016,0.103
3/1/2016,0.093
4/1/2016,0.095
5/1/2016,0.097
6/1/2016,0.097
7/1/2016,0.11
8/1/2016,0.106
9/1/2016,0.115
10/1/2016,0.112
11/1/2016,0.11
12/1/2016,0.115
1/1/2017,0.125
2/1/2017,0.117
3/1/2017,0.103
4/1/2017,0.111
5/1/2017,0.111
6/1/2017,0.112
7/1/2017,0.11
8/1/2017,0.108
9/1/2017,0.112
10/1/2017,0.126
11/1/2017,0.122
12/1/2017,0.129
1/1/2018,0.124
2/1/2018,0.137
3/1/2018,0.118
4/1/2018,0.119
5/1/2018,0.125
6/1/2018,0.126
7/1/2018,0.125
8/1/2018,0.123
9/1/2018,0.127
10/1/2018,0.138
11/1/2018,0.138
12/1/2018,0.157
1/1/2019,0.144
2/1/2019,0.135
3/1/2019,0.13
4/1/2019,0.128
5/1/2019,0.126
6/1/2019,0.127
7/1/2019,0.122
8/1/2019,0.118
9/1/2019,0.124
10/1/2019,0.127
11/1/2019,0.129
12/1/2019,0.127
1/1/2020,0.123
2/1/2020,0.119
3/1/2020,0.114
4/1/2020,0.121
5/1/2020,0.124
6/1/2020,0.123
7/1/2020,0.121
8/1/2020,0.125
9/1/2020,0.139
10/1/2020,0.133
11/1/2020,0.145
12/1/2020,0.144
1/1/2021,0.139
2/1/2021,0.143
3/1/2021,0.144
4/1/2021,0.141
5/1/2021,0.138
6/1/2021,0.138
