,Date,Rate Value
0,21/05/01,5.80%
1,21/01/01,6.30%
2,20/01/01,3.50%
3,19/01/01,4.00%
4,18/01/01,4.00%
5,17/01/01,4.70%
6,16/01/01,4.80%
7,15/01/01,5.70%
8,14/01/01,6.60%
9,13/01/01,8.00%
10,12/01/01,8.30%
11,11/01/01,9.10%
12,10/01/01,9.80%
13,09/01/01,7.80%
14,08/01/01,5.00%
15,07/01/01,4.60%
16,06/01/01,4.70%
17,05/01/01,5.30%
18,04/01/01,5.70%
19,03/01/01,5.80%
20,02/01/01,5.70%
21,01/01/01,4.20%
22,00/01/01,4.00%
23,99/01/01,4.30%
24,98/01/01,4.60%
25,97/01/01,5.30%
26,96/01/01,5.60%
27,95/01/01,5.60%
28,94/01/01,6.60%
29,93/01/01,7.30%
30,92/01/01,7.30%
31,91/01/01,6.40%
32,90/01/01,5.40%
33,89/01/01,5.40%
34,88/01/01,5.70%
35,87/01/01,6.60%
36,86/01/01,6.70%
37,85/01/01,7.30%
38,84/01/01,8.00%
39,83/01/01,10.40%
40,82/01/01,8.60%
41,81/01/01,7.50%
42,80/01/01,6.30%
43,79/01/01,5.90%
44,78/01/01,6.40%
45,77/01/01,7.50%
46,76/01/01,7.90%
47,75/01/01,8.10%
48,74/01/01,5.10%
49,73/01/01,4.90%
50,72/01/01,5.80%
51,71/01/01,5.90%
52,70/01/01,3.90%
53,69/01/01,3.40%
54,68/01/01,3.70%
55,67/01/01,3.90%
56,66/01/01,4.00%
57,65/01/01,4.90%
58,64/01/01,5.60%
59,63/01/01,5.70%
60,62/01/01,5.80%
61,61/01/01,6.60%
62,60/01/01,5.20%
63,59/01/01,6.00%
64,58/01/01,5.80%
65,57/01/01,4.20%
66,56/01/01,4.00%
67,55/01/01,4.90%
68,54/01/01,4.90%
69,53/01/01,2.90%
70,52/01/01,3.20%
71,51/01/01,3.70%
72,50/01/01,6.50%
73,49/01/01,4.30%
74,48/01/01,3.40%